Description,Normal Price,Discount Price,URL
"6 Bandas Para Cabello Cabeza De Deportivas Delgada Elásticas","106.21","106.21","https://articulo.mercadolibre.com.mx/MLM-2044887195-6-bandas-para-cabello-cabeza-de-deportivas-delgada-elasticas-_JM?searchVariation=180223757180#polycard_client=search-nordic&amp;searchVariation=180223757180&amp;position=45&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"5pzs Banda Deportiva Cabeza Cabello Vincha Diadema Yoga","409.40","163.76","https://articulo.mercadolibre.com.mx/MLM-3114733194-5pzs-banda-deportiva-cabeza-cabello-vincha-diadema-yoga-_JM?searchVariation=180646184792#polycard_client=search-nordic&amp;searchVariation=180646184792&amp;position=46&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Banda Para Cabello Y Sudor Kyrie Verde Unitalla Unisex","185","185","https://articulo.mercadolibre.com.mx/MLM-3150862366-banda-para-cabello-y-sudor-kyrie-verde-unitalla-unisex-_JM?searchVariation=183219196591#polycard_client=search-nordic&amp;searchVariation=183219196591&amp;position=47&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"4pcs Bandas Para Cabello Cabeza Diademas Deportiva Elásticas","298","143.04","https://articulo.mercadolibre.com.mx/MLM-2593667048-4pcs-bandas-para-cabello-cabeza-diademas-deportiva-elasticas-_JM?searchVariation=180187509929#polycard_client=search-nordic&amp;searchVariation=180187509929&amp;position=48&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Bandas Para El Cabello Deportivas Color Elásticas 6 Piezas","138.05","138.05","https://articulo.mercadolibre.com.mx/MLM-1786089212-bandas-para-el-cabello-deportivas-color-elasticas-6-piezas-_JM?searchVariation=176437884962#polycard_client=search-nordic&amp;searchVariation=176437884962&amp;position=49&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"Bandas Para Cabello Deportivas Elásticas Cabeza Delgadas6pcs","143","135.85","https://articulo.mercadolibre.com.mx/MLM-2022311625-bandas-para-cabello-deportivas-elasticas-cabeza-delgadas6pcs-_JM#polycard_client=search-nordic&amp;position=50&amp;search_layout=grid&amp;type=item&amp;tracking_id=3a6e5d5b-6403-4bcb-8473-880dcb7cc904"
"8 Piezas Banditas Deportivas Suave Y Transpirable P/cabello","245.64","167.04","https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=m0Bs9Gq%2FPJOI3%2FHROiaOUatGGyBiQ24Bircx2YcCkceIy1Ucz8xIXzqWxmLIM4ALFHL7byJ8p0g1ucdaRN7gn8Dak8Ivf6VS7i3UXvuHihmwb7l3lA%2F348sGGnL0voDz0djno6GWk1jV8clUb4Eg5%2BDVn8HxCpqyywTMdc9MvIAwB2%2FiEdmk7PIAKQU6mz3HO8RKEAcKOPhQfVsn2DdYcGS1YP%2FzumOW76zZuMt5FcB9toQk1PVvcS6g55NeU9wRn%2B6FtN6DpnAqqWvc6t%2FX2NqyAqbnFr9x4QXOYQGFoH%2FM%2Bmr2B9J76nlCcpivRGb38Ko6TumY%2Fh4jV4zLedg3cbSsqaLOJmMXbXa8Z5Y0Rst23w4Qc%2FHlvDXIvDFbaLe9mA0NNbvuCv6BgO0FY%2B1Zn%2F4Ks3fcied%2BxsZkYcBB7V6BdnXkjCAEMiL45d0LsbBKlirgw%2BmFeGSwLHSvUH%2FPLZsOz%2Fho1mgulcb%2FsUqZ9Zd0L57yjvwtDdZmHgaUGmLpJctdq06jKybLLzHc%2F0EXuwX0w5kXR4jfcpbp9%2BYEKNyo3yFu4Y9pH197tSOACV0T6muF7ztG%2BwxsGwtkHhsCquiR1dMRg3znG0AQxT%2BOyHBV2Eq6ZaCDts4jjuhHLw6VDLRS%2F6XdnxBpO%2BFRTSX31PSbtl5gAtzWobrymiXxlYlTWvWjJYOBF%2F05c8zpCXUl9T5q0Noxs7n7NwG3nfEL8Z8Ghnc1%2B%2FNMt7tr00Kq6lurRgeuMnsaYyp0cp%2FgX80bTEK0YugP%2FJIXDQyZRD%2F5E%2FA8&amp;rb=x#polycard_client=search-nordic&amp;tracking_id=392d8652-ac6c-4153-b5dc-b45bb72f7ca5"
"Banda Deportiva Suave Y Transpirable P/cabello, 6 Pcs","208","114.40","https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=NEtjqjqlqLZ2AdL9Sd8yj8qNKiAap84VYzGROp2wecLskprCuSApNXyWhXYc46K5OT09%2Bhl1CgrWHDMLwZ%2FBrXaIQmtcrgktbtw%2FtW%2Fr0Vty1GFn505GIxPCRnmm1E3ehKtSdH7wFIm07%2BdCG9CKNI03Ebxc7OL4Dsm55tKTCLYe6VX30BXjhyUZyIMx7NhHchuhvQygGcLzg4PDP1oIWhrr5a4loM7%2B5muLO0TYq3xmxzeIGFKVbX5sSJE0HQ2YtqSHZqm3EgZiot5SpRrB5fDjgIqRk4xyOiuBf6f5QPYJL0aQ7vnY1FLw%2Bs3Z40IV0glFZOoN8wCPJAEYuldSAMA8GZbyg4XYVo4P3Hok2KjYjhv106gixblL3M7IFhh9fx24bzumEKbETUrektQU9qlfwJrWl%2Bi1%2F0JKIP1WC5JnzSu48%2Ft54WRnKMPMRAbkKfozcnb9nWY%2BJWfuBOjWFgPdM8V5AD0zYA1XN7xxfp4T%2BQByL2%2BqUfQ09mAk%2FnslwFDkvU8q4FGFGvMxUEanu82QIM5COBomKiDd9i7dlirMlWRPpSAHFKiaV0UH6QiyK2WAnRQoTn92u5v2HCDWtsP8TCRFXwQD6yuEUN2OWEicQGpTA4AeY2wkBpQlpOJlnltWglotmE22yGlzQergb%2B87O7h0pM53ckzFpd4Bw0eng%2FDZmklhtnKI12TOOxDx4DzH3slMC9bYMRQvibwwzDWhHaX4Qm89maxvowGG1AotgNZt1qbzy7POE%2F65gk8xSd6b%2BETKfqucXnBH&amp;rb=x#polycard_client=search-nordic&amp;tracking_id=392d8652-ac6c-4153-b5dc-b45bb72f7ca5"
"18pz Banda Deportiva Cabeza Sudor Elástica Diadema Muñequera","195","175.50","https://articulo.mercadolibre.com.mx/MLM-3121111700-18pz-banda-deportiva-cabeza-sudor-elastica-diadema-munequera-_JM?searchVariation=183058939455#polycard_client=search-nordic&amp;searchVariation=183058939455&amp;position=3&amp;search_layout=grid&amp;type=item&amp;tracking_id=392d8652-ac6c-4153-b5dc-b45bb72f7ca5"
"9pz Diadema Para Hombre Cabello Banda Para Deportiva Cabeza","253.83","98.26","https://articulo.mercadolibre.com.mx/MLM-2342593746-9pz-diadema-para-hombre-cabello-banda-para-deportiva-cabeza-_JM?searchVariation=178244156134#polycard_client=search-nordic&amp;searchVariation=178244156134&amp;position=4&amp;search_layout=grid&amp;type=item&amp;tracking_id=392d8652-ac6c-4153-b5dc-b45bb72f7ca5"
